Time (s),Robot 1 Speed (m/s),Robot 2 Speed (m/s),Robot 3 Speed (m/s),Robot 4 Speed (m/s)
7.699999999999989,6.087694758490762,3.7291592578348656,1.6550821664180393,1.9221335839744507
7.799999999999988,5.2348896016022515,3.5200286851773006,1.1685855560309226,2.028059922475722
7.899999999999988,4.431099175497181,3.3463600513501786,1.1800631545722582,2.022318501934448
7.999999999999988,3.6744634205268754,3.205531530613325,1.619963096587073,2.2019582841804195
8.099999999999987,2.9635116653954303,3.095320667573584,2.22186174491763,2.5301124044369594
8.199999999999987,2.298204563693929,3.013833093324218,2.86607208540756,2.9606531817129538
8.299999999999986,1.6828054279218632,2.959445797902048,3.515379362809503,3.4581877442453584
8.399999999999986,1.135598598227071,2.9307424660963513,3.663758256710568,3.620751344093181
8.499999999999986,0.8047768844934228,3.0976501760707853,3.815325406718193,3.791598870917433
8.599999999999985,0.5680395273048024,3.263372561074497,3.9695547882541513,3.9686206276748357
8.699999999999985,0.5609314003892966,3.0929581353793405,4.1260117189229,4.1500872934869735
8.799999999999985,0.7896787095882002,2.917803457823996,4.284335052490261,4.334592055639605
8.899999999999984,1.1177951942276172,2.73788633454923,4.4442190850362815,4.520993588787214
8.999999999999984,1.480595937913004,2.553156610420516,3.8695554228766156,4.3190271806366205
9.099999999999984,1.8578286207765031,2.36358070211322,3.329845993054747,4.149525745297581
9.199999999999983,2.242169416629089,2.16918783315395,2.8260190486081025,4.010782008536775
9.299999999999983,2.630443647987179,1.97011774412587,2.3600955664945893,3.9006234193879776
9.399999999999983,3.0210627990996906,1.766670271509146,1.9363960983246982,3.8164897615402715
9.499999999999982,3.4131344282722917,1.5593629042193562,1.564192961791533,3.7557178096546555
9.599999999999982,3.8061013265019135,1.349018528985073,1.2625503521506667,3.7158248138404613
9.699999999999982,4.1995735729063135,1.1369458145128242,1.0652913050729123,3.6946596476727205
9.799999999999981,3.8202987268822,0.9253862173045598,1.0724283214174641,3.4207634771550937
9.89999999999998,3.4423308900889245,0.7217203164353049,1.0777992037281334,3.154166833885589
9.99999999999998,3.0668195622329946,0.5328543544594543,1.0831668268017727,2.895904620743723
10.09999999999998,2.6953243258928845,0.37838130968341777,1.0904022776433497,2.6470821009249565
10.19999999999998,2.330209548741287,0.3104142060504857,1.1014108192906427,2.4090271640314667
10.29999999999998,1.9753966200079611,0.37603543731299277,1.1180419565696553,2.183470348656921
10.399999999999979,1.637928957765082,0.5257622309425943,1.1419879100244428,1.972765462830277
10.499999999999979,1.3313598585680504,0.7069467095022748,1.1746831066703407,1.7801539511680555
10.599999999999978,1.0825227188513251,0.9000204629159514,1.2172231180088742,1.6100386427500044
10.699999999999978,0.9386998592891487,1.0982042062634285,1.2703204402056194,1.468137206429997
10.799999999999978,0.9489904765124532,1.298805896316124,1.334305659680753,1.3612171787843372
10.899999999999977,1.109108419517015,1.5006239574733884,1.4091698794756924,1.295991731159959
10.999999999999977,1.3673308389299321,1.7030829160984151,1.4946341707929913,1.277077507755317
11.099999999999977,1.6788801135868932,1.9059006576684774,1.5902284110654183,1.3049427783841763
11.199999999999976,2.019080924930976,2.10894345256978,1.7045501473400793,1.3833352097982379
11.299999999999976,2.3754837453411626,2.312155998660745,1.833555606678103,1.4822822765008392
11.399999999999975,2.743129333672149,2.5155244628328464,1.9747055778766112,1.598398652868531
11.499999999999975,3.116522018549537,2.7189785495674896,2.1258758487137728,1.7286353563702739
11.599999999999975,3.493524287196439,2.922540509739924,2.285378742519575,1.8704293979854538
11.699999999999974,3.8727101814075735,3.1262411728038693,2.4518738838213094,2.0217147365135313
11.799999999999974,3.4800493740572933,2.9407168916811073,2.2418616210378315,2.180862902600469
11.899999999999974,3.08811316765043,2.7577392475017475,2.033505606671188,2.344798561410652
11.999999999999973,2.6974397232015077,2.5775207289926145,1.827145149237477,2.512444621852546
12.099999999999973,2.308852369200634,2.400361363339879,1.6233003065765759,2.682980192546887
12.199999999999973,1.9237721139576685,2.2266837527908456,1.4227968603622596,2.4808691112946084
12.299999999999972,1.5449641212425433,2.057083022398018,1.227001391717766,2.314780701219821
12.399999999999972,1.1786238180446138,1.8923985595396644,1.0382883174326036,2.153619695098256
12.499999999999972,0.841328537338736,1.7338168515587014,0.8610106145544706,1.9984232686742103
12.599999999999971,0.585739060046119,1.583016413869748,0.7035222794109188,1.8505321859686417
12.69999999999997,0.48026502354781414,1.3609342461764664,0.581755197118769,1.7116765380028378
12.79999999999997,0.6058094462082754,1.1593432936014192,0.5210365470867611,1.5840774331740146
12.89999999999997,0.8623251085023543,0.9948517961693479,0.5419779053966342,1.4705035160548183
12.99999999999997,1.1631749286198316,0.8923788648699231,0.6270513757952008,1.3500941143381864
13.09999999999997,1.4793839843290917,0.8777447838449863,0.7410038867992877,1.2694751592725422
13.199999999999969,1.8012961169946684,0.9580512948543222,0.8741720348041656,1.2335927170228314
13.299999999999969,2.1251293013138324,1.115253604417078,1.020263829913136,1.2437535397996546
